"subject_id","seed","mean_numerosity","appearance","first_estimate_raw","second_estimate_raw","geometric_mean_raw","first_error_raw","second_error_raw","geom_mean_error_raw","estimate_difference_raw","mean_individual_error_raw","woic_magnitude_raw","c_mean_numerosity"
"85941",23,92,"diffPos_diffObj",141,136,138.47743498491,49,44,46.47743498491,5,46.5,0.0225650150899526,-7.34375
"85941",24,77.625,"diffPos_diffObj",92,95,93.487967140162,14.375,17.375,15.862967140162,3,15.875,0.0120328598380013,-21.71875
"85941",25,120.625,"samePos_diffObj",156,147,151.433153569487,35.375,26.375,30.8081535694875,9,30.875,0.0668464305125269,21.28125
"85941",26,149.625,"diffPos_sameObj",169,163,165.972889352448,19.375,13.375,16.3478893524482,6,16.375,0.0271106475518366,50.28125
"85941",27,120.625,"diffPos_diffObj",150,134,141.774468787578,29.375,13.375,21.1494687875781,16,21.375,0.225531212421856,21.28125
"85941",28,63.625,"diffPos_sameObj",54,64,58.7877538267962,9.625,0.375,4.83724617320376,10,5,0.162753826796241,-35.71875
"85941",29,49.625,"diffPos_sameObj",46,48,46.9893604978829,3.625,1.625,2.63563950211708,2,2.625,-0.0106395021170798,-49.71875
"85941",30,92,"samePos_diffObj",119,128,123.417988964332,27,36,31.4179889643321,9,31.5,0.0820110356679038,-7.34375
"85941",31,49.625,"diffPos_sameObj",69,54,61.0409698481274,19.375,4.375,11.4159698481274,15,11.875,0.459030151872604,-49.71875
"85941",32,92,"samePos_sameObj",125,124,124.498995979887,33,32,32.4989959798874,1,32.5,0.00100402011264578,-7.34375
"85941",33,135,"samePos_diffObj",156,134,144.582156575423,21,1,9.58215657542252,22,11,1.41784342457748,35.65625
"85941",34,149.625,"diffPos_diffObj",161,157,158.987420886056,11.375,7.375,9.36242088605624,4,9.375,0.0125791139437581,50.28125
"85941",35,120.625,"diffPos_diffObj",149,143,145.969174828112,28.375,22.375,25.3441748281123,6,25.375,0.0308251718876988,21.28125
"85941",36,135,"samePos_diffObj",157,147,151.917740899475,22,12,16.9177408994749,10,17,0.082259100525107,35.65625
"85941",37,106.625,"diffPos_sameObj",133,126,129.452694062348,26.375,19.375,22.8276940623485,7,22.875,0.0473059376515437,7.28125
"85941",38,120.625,"diffPos_sameObj",143,134,138.426876003181,22.375,13.375,17.8018760031807,9,17.875,0.0731239968192767,21.28125
"85941",39,149.625,"diffPos_diffObj",152,150,150.996688705415,2.375,0.375,1.37168870541498,2,1.375,0.00331129458501778,50.28125
"85941",40,92,"samePos_diffObj",127,117,121.89749792346,35,25,29.8974979234603,10,30,0.102502076539722,-7.34375
"85941",41,120.625,"samePos_sameObj",136,127,131.422981247573,15.375,6.375,10.7979812475732,9,10.875,0.0770187524267669,21.28125
"85941",42,92,"samePos_diffObj",115,113,113.995613950713,23,21,21.995613950713,2,22,0.00438604928699249,-7.34375
"85941",43,106.625,"diffPos_diffObj",130,132,130.996183150503,23.375,25.375,24.3711831505025,2,24.375,0.00381684949746841,7.28125
"85941",44,49.625,"samePos_diffObj",51,64,57.1314274283428,1.375,14.375,7.50642742834277,13,7.875,0.368572571657225,-49.71875
"85941",45,149.625,"diffPos_sameObj",158,159,158.499211354505,8.375,9.375,8.87421135450478,1,8.875,0.000788645495219953,50.28125
